sensor_index,timestamp,angle,pressure,temperature
0,10.55628228187561,0,-25.933333333333334,22.455
0,11.168776035308838,0,-8.833333333333334,22.5
0,11.787747144699097,0,-12.966666666666667,22.5
0,12.40076994895935,0,-49.46666666666667,22.52
0,13.018011808395386,0,-43.55,22.495
0,13.634291172027588,0,-13.166666666666666,22.5
0,14.270277976989746,0,-33.06666666666667,22.48
0,14.882251501083374,0,-34.083333333333336,22.49
0,15.500211954116821,0,-20.05,22.52
0,16.112250089645386,0,-15.75,22.5
0,16.73034119606018,0,-21.55,22.485
0,17.342339515686035,0,-28.0,22.535
0,17.961484670639038,0,-37.3,22.52
0,18.573469638824463,0,-40.75,22.51
0,19.19178795814514,0,-16.9,22.47
0,19.812711477279663,0,-28.383333333333333,22.52
0,20.445653200149536,0,-33.15,22.505
0,21.057343244552612,0,-67.3,22.49
0,21.67469811439514,0,-38.5,22.52
0,22.286299467086792,0,-22.816666666666666,22.515
0,22.89806818962097,0,-13.716666666666667,22.505
0,23.515685558319092,0,-16.833333333333332,22.495
0,24.12722158432007,0,-37.166666666666664,22.505
0,24.74629044532776,0,-21.216666666666665,22.56
0,25.359458446502686,0,-30.966666666666665,22.525
0,25.998759508132935,0,-17.3,22.53
0,26.6128351688385,0,-22.883333333333333,22.56
0,27.22391653060913,0,-22.416666666666668,22.52
0,27.844678163528442,0,-6.7,22.52
0,28.458341360092163,0,-22.933333333333334,22.535
0,29.0795419216156,0,-16.216666666666665,22.54
0,29.69178819656372,0,-13.383333333333333,22.485
0,30.30406355857849,0,-7.35,22.555
0,30.924017429351807,0,-45.95,22.54
0,31.54739785194397,0,-22.983333333333334,22.53
0,32.1848623752594,0,-6.683333333333334,22.5
0,32.79684901237488,0,-9.65,22.52
0,33.41773772239685,0,-34.5,22.54
0,34.02933979034424,0,0.16666666666666666,22.51
0,34.64871287345886,0,-18.483333333333334,22.52
0,35.26020622253418,0,-15.083333333333334,22.5
0,35.88053059577942,0,-30.033333333333335,22.55
0,36.4932324886322,0,-37.8,22.55
0,37.10573863983154,0,-19.633333333333333,22.55
0,37.742058992385864,0,5.783333333333333,22.5
0,38.35408043861389,0,-35.2,22.49
0,38.97355079650879,0,-15.3,22.52
0,39.58472394943237,0,-36.3,22.56
0,40.19604277610779,0,9.0,22.525
0,40.817471504211426,0,-62.7,22.52
0,41.42949962615967,0,-40.31666666666667,22.545
0,42.05033087730408,0,-11.2,22.535
0,42.66175985336304,0,-39.666666666666664,22.55
0,43.30344104766846,0,-30.116666666666667,22.525
0,43.91601920127869,0,-14.133333333333333,22.525
0,44.52734661102295,0,-34.9,22.53
0,45.14789056777954,0,-5.283333333333333,22.54
0,45.75950574874878,0,3.6,22.525
0,46.380985736846924,0,-17.666666666666668,22.54
0,46.99265265464783,0,-27.616666666666667,22.54
0,47.60398244857788,0,-46.13333333333333,22.545
0,48.22607398033142,0,-18.8,22.51
0,48.85282373428345,0,-16.016666666666666,22.5
0,49.49626350402832,0,-65.73333333333333,22.555
0,50.108943700790405,0,-41.75,22.545
0,50.730767011642456,0,-35.13333333333333,22.52
0,51.342047691345215,0,-28.583333333333332,22.535
0,51.96376919746399,0,-25.883333333333333,22.5
0,52.57531189918518,0,-4.783333333333333,22.55
0,53.197821378707886,0,-11.833333333333334,22.57
0,53.8092725276947,0,-39.516666666666666,22.515
0,54.43148970603943,0,-32.15,22.52
0,55.055872201919556,0,5.383333333333334,22.5
0,55.70613980293274,0,-34.21666666666667,22.535
0,56.31777906417847,0,-37.4,22.52
0,56.9400269985199,0,-14.466666666666667,22.535
0,57.55134701728821,0,-8.45,22.52
0,58.17443490028381,0,-22.45,22.53
0,58.785544633865356,0,-34.516666666666666,22.52
0,59.397003412246704,0,-37.46666666666667,22.54
0,60.020954608917236,0,-13.816666666666666,22.525
0,60.63252115249634,0,-37.733333333333334,22.5
0,61.27752470970154,0,-1.5833333333333333,22.525
0,61.88929486274719,0,-19.316666666666666,22.54
0,62.513123512268066,0,-42.3,22.545
0,63.12486267089844,0,-14.25,22.5
0,63.74931478500366,0,-42.333333333333336,22.515
0,64.3612277507782,0,-30.966666666666665,22.565
0,64.98498463630676,0,-0.21666666666666667,22.52
0,65.59606218338013,0,-44.1,22.505
0,66.20708894729614,0,-19.1,22.57
0,66.85682916641235,0,-6.966666666666667,22.54
0,67.46850085258484,0,-18.166666666666668,22.535
0,68.09331130981445,0,4.483333333333333,22.515
0,68.70470643043518,0,-55.6,22.54
0,69.3155677318573,0,-1.85,22.52
0,69.94021368026733,0,-23.6,22.555
0,70.55167961120605,0,-26.95,22.54
0,71.17742252349854,0,-5.433333333333334,22.53
0,71.78890633583069,0,-8.5,22.515
0,72.4119336605072,0,-28.616666666666667,22.5
0,73.065185546875,0,-43.516666666666666,22.54
0,73.67730832099915,0,-50.03333333333333,22.575
0,74.30398654937744,0,-17.683333333333334,22.54
0,74.91701650619507,0,-25.266666666666666,22.54
0,75.52827334403992,0,4.383333333333334,22.52
0,76.15293407440186,0,-42.81666666666667,22.53
0,76.7643141746521,0,-47.8,22.56
0,77.38981509208679,0,-42.11666666666667,22.505
0,78.00208711624146,0,-17.4,22.53
0,78.62681722640991,0,-26.65,22.535
0,79.27882742881775,0,-21.783333333333335,22.505
0,79.8903865814209,0,-9.616666666666667,22.54
0,80.51540875434875,0,-8.233333333333333,22.52
0,81.12667679786682,0,-20.583333333333332,22.515
0,81.75152111053467,0,-46.916666666666664,22.54
